BEAMS
BinSize:0.625,Temperature:39.500K,Field:0.000G,Sample:nano-Mn3O4,Orientation:powder,NumBins:16384,NumHists:5,RunNumber:7387,Title:nano-Mn3O4 zero field
Forward,Backward,Up,Down,Right
1137,1554,2024,1907,307
1115,1524,1964,1910,349
1163,1484,2011,1880,325
1104,1508,2040,1839,312
1126,1505,1903,1959,351
1153,1511,1972,1840,321
1142,1549,1922,1912,317
1175,1551,1959,1922,315
1111,1529,1965,1878,317
1133,1523,2017,1822,363
1156,1504,2039,1901,321
1133,1503,1962,1873,300
1096,1518,1977,1856,308
1182,1530,1993,1923,318
1147,1590,1993,1892,296
1109,1527,2015,1932,311
1156,1501,1913,1890,308
1102,1513,2045,1952,308
1144,1467,1958,1819,341
1155,1570,1924,1836,333
1151,1537,2020,1819,310
1160,1522,1930,1894,334
1197,1477,1923,1850,327
1113,1492,2004,1881,315
1149,1543,2007,1835,306
1131,1546,1961,1840,333
1143,1473,2017,1851,329
1113,1510,1980,1946,320
1178,1557,2030,1950,292
1148,1515,1956,1816,323
1174,1547,1946,1909,320
1147,1449,1901,1869,318
1135,1586,2045,1842,304
1166,1500,1930,1919,321
1119,1482,1984,1802,344
1151,1472,2001,1858,312
1171,1464,1915,1898,316
1139,1558,1940,1873,310
1190,1481,1984,1885,327
1090,1547,1903,1847,301
1126,1544,1973,1863,349
1079,1459,1974,1812,346
1155,1514,1916,1873,306
1151,1530,1939,1869,352
1156,1482,2003,1757,319
1162,1502,1883,1886,311
1183,1460,1943,1870,332
1121,1530,1895,1864,334
1154,1446,1927,1872,321
1104,1552,1974,1917,331
1135,1396,1911,1982,325
1107,1494,1954,1794,313
1163,1484,1991,1840,315
1116,1516,1947,1803,320
1146,1517,1950,1931,353
1123,1542,1923,1924,309
1091,1514,1974,1817,319
1073,1571,2035,1941,337
1102,1489,1904,1815,313
1111,1495,1960,1845,333
1132,1534,1877,1853,294
1103,1484,2004,1906,321
1124,1542,1900,1780,354
1110,1454,1921,1940,330
1116,1513,1872,1782,309
1147,1511,1941,1764,330
1154,1496,1906,1754,323
1121,1489,1910,1883,292
1201,1527,2019,1775,328
1148,1512,1970,1885,365
1096,1523,1888,1839,291
1041,1479,1882,1825,336
1184,1444,1984,1819,333
1096,1456,1918,1837,324
1123,1513,1936,1812,325
1115,1436,1993,1774,292
1149,1429,1909,1826,334
1113,1360,1888,1861,334
1143,1465,1907,1833,331
1161,1468,1886,1822,314
1115,1505,1908,1801,353
1213,1491,1871,1831,357
1139,1482,1936,1793,352
1104,1454,1955,1861,345
1118,1513,1948,1905,302
1118,1521,1986,1862,301
1119,1526,1911,1794,299
1137,1481,1953,1838,296
1160,1503,1970,1817,303
1163,1506,1880,1773,301
1095,1530,1936,1837,329
1149,1511,1926,1840,309
1100,1450,1930,1767,322
1151,1464,1958,1834,306
1128,1480,1966,1784,336
1112,1461,1919,1817,346
1090,1478,1938,1847,320
1144,1537,1923,1813,314
1106,1515,1924,1831,321
1094,1545,1970,1786,322
1175,1453,1959,1829,295
1120,1507,1932,1836,323
